Bowler Cluster,Number
8.32167954,17.546534379300002
8.97559158,54.088888804099994
8.68693256,82.5
8.68356438,40.255555725099995
7.94883663,24.385153061300002
7.06125161,7.1238094398
7.88376007,32.846300349500005
8.51144028,12.992364848100001
7.60079792,20.8798676115
8.12271766,28.068938182
